FileName,bass,cello,clarinet,drums,flute,guitar,piano,trumpet,violin,voice
000135_483840.ogg,0,0,0,0,0,0,0,0,0,1
000141_153600.ogg,0,0,1,0,0,0,0,0,0,0
000178_3840.ogg,0,0,0,0,0,0,0,0,0,1
000182_145920.ogg,0,0,0,0,0,0,0,0,0,1
000189_207360.ogg,0,0,0,0,0,1,0,0,0,0
000190_126720.ogg,0,0,0,0,0,0,1,0,0,0
000208_195840.ogg,0,0,0,0,0,0,1,0,0,0
000237_34560.ogg,0,0,1,0,0,0,0,1,0,0
000238_226560.ogg,0,0,1,0,0,0,0,0,0,0
000250_26880.ogg,0,0,0,0,0,0,0,1,0,0
000253_126720.ogg,0,0,0,0,0,0,0,1,0,1
000282_207360.ogg,0,0,0,1,0,0,0,0,0,0
000284_65280.ogg,0,0,0,1,0,0,0,0,0,0
000308_61440.ogg,1,0,0,0,0,0,0,0,0,0
000319_145920.ogg,1,0,0,0,0,0,0,0,0,0
000321_218880.ogg,1,0,0,0,0,0,0,0,0,0
000336_69120.ogg,1,0,0,0,0,0,0,0,0,0
000359_46080.ogg,1,0,0,0,0,0,0,1,0,0
000384_161280.ogg,0,0,0,0,0,0,0,0,0,1
000386_65280.ogg,0,0,0,0,0,0,0,1,0,0
000393_303360.ogg,0,0,0,1,0,0,0,0,0,0
000395_119040.ogg,0,0,0,1,0,0,0,0,0,0
000399_111360.ogg,0,0,0,1,0,0,0,0,0,0
000403_0.ogg,0,0,1,0,1,0,0,0,1,0
000407_257280.ogg,0,0,1,0,0,0,0,0,1,0
000410_192000.ogg,0,0,0,0,1,0,0,0,0,0
000411_30720.ogg,0,0,0,0,1,0,0,0,0,0
000438_245760.ogg,0,0,0,0,0,0,0,0,0,1
000439_245760.ogg,0,0,0,0,0,0,0,0,0,1
000446_26880.ogg,0,0,0,1,0,0,0,0,0,0
000450_88320.ogg,0,0,0,0,1,0,0,0,0,0
000461_218880.ogg,0,0,0,0,0,0,0,0,1,0
000464_7680.ogg,0,0,1,0,0,0,0,1,0,0
000485_7680.ogg,0,0,0,0,0,0,0,1,0,0
000502_579840.ogg,0,0,0,1,0,0,0,0,0,0
000504_203520.ogg,0,0,0,0,0,0,1,0,0,0
000507_11520.ogg,1,0,0,0,0,0,0,0,0,0
000525_119040.ogg,0,0,0,0,0,0,0,1,0,0
000575_69120.ogg,0,0,0,0,0,0,0,0,0,1
000587_69120.ogg,0,0,0,0,0,0,0,1,0,0
000602_103680.ogg,0,1,0,0,0,0,0,0,0,0
000605_3840.ogg,0,0,0,1,0,0,0,0,0,0
000607_76800.ogg,0,0,0,1,0,0,0,0,0,0
000642_295680.ogg,0,0,0,0,0,0,0,1,0,0
000644_69120.ogg,0,0,0,0,0,0,0,1,0,0
000661_253440.ogg,0,0,0,0,0,0,0,1,0,0
000663_211200.ogg,0,0,0,0,1,0,0,0,0,0
000693_307200.ogg,1,0,0,1,0,0,0,0,0,0
000697_122880.ogg,0,0,0,1,0,0,0,0,0,0
000698_65280.ogg,0,0,0,1,0,0,0,0,0,0
000699_134400.ogg,0,0,0,1,0,0,0,0,0,0
000706_215040.ogg,0,0,0,0,0,0,0,0,0,1
000729_61440.ogg,0,0,0,1,0,0,0,0,0,0
000739_0.ogg,0,0,0,0,0,1,0,0,0,0
000741_38400.ogg,0,0,0,0,0,0,0,0,0,1
000764_172800.ogg,0,0,0,1,0,0,0,0,0,0
000773_61440.ogg,0,0,0,0,0,0,0,0,0,1
000797_19200.ogg,1,0,0,0,0,0,0,0,0,0
000814_122880.ogg,0,0,0,0,0,0,0,0,1,0
000818_3840.ogg,1,0,0,0,0,0,0,0,0,0
000833_26880.ogg,0,0,0,0,0,0,0,1,0,0
000846_103680.ogg,0,0,0,0,0,0,0,0,0,1
000851_3840.ogg,1,0,0,0,0,0,1,1,0,0
000873_253440.ogg,0,1,0,0,0,0,0,0,0,0
